entity_name,category_names,service_names,products,products_rpc_codes,products_rpc_names,email,phone,website,location,profile_url,source_url
,,,,,,,,,,,
Rosy Farms,Fruit; Grains,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Frozen haskaps, Wholesale frozen haskaps, Upick haskaps July to early August",,,andrew@rosyfarms.com,780-951-1015,https://www.rosyfarms.com,"Alcomdale, Alberta",https://regenerationcanada.org/en/rosy-farms/,https://regenerationcanada.org/en/map/
Waskwey Creek,Other / multiple categories,,"Hay, Feeder cattle",,,terryosko@circletconsulting.ca,(780)632-9746,,"Vegreville, Alberta",https://regenerationcanada.org/en/waskwei-creek/,https://regenerationcanada.org/en/map/
Maple Ridge Farm,Beef; Poultry; Honey & bee products; Mixed farming,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public),"Beekeeping workshops, Seasonal flowers, Onfarm experiences, Strategy sessions for farmers, Pastured Free Range Eggs, Grass Finished Organic Beef, Pastured Poultry, Pastured Pork, Gardening workshops, Class Trips, Raw Honey, Floral workshops",,,mapleridgefarmer@gmail.com,6135322981,https://mapleridge-farm.com,"Sydenham, ON",https://regenerationcanada.org/en/maple-ridge-farm/,https://regenerationcanada.org/en/map/
C. Fensky Farms,Beef; Pork; Other / multiple categories,,"Grain, Beef, Compost",,,,,,"Thorsby, AB",https://regenerationcanada.org/en/c-fensky-farms/,https://regenerationcanada.org/en/map/
KPU Farm,Vegetables; Fruit; Grains; Honey & bee products; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Farm dinners and events; Employment opportunities,Vegetables and soft fruit,,,kpufarm@kpu.ca,,https://kpu.ca/agriculture/farms,"Richmond, British Columbia",https://regenerationcanada.org/en/kpu-farm/,https://regenerationcanada.org/en/map/
Clef des Champs,Other / multiple categories,Workshops & trainings; Farm tour (for general public); Internship program,Medicinal extracts made from fresh plants,,,info@clefdeschamps.net,819-322-1561,https://www.clefdeschamps.net,"Val-David, Québec",https://regenerationcanada.org/en/clef-des-champs/,https://regenerationcanada.org/en/map/
Wildwood Flowr,Other / multiple categories,Workshops & trainings; Farm tour (for other farmers),Cannabis,,,av@fs-cannabis.com,+1 902 698 0454,,"Westcock, NB",https://regenerationcanada.org/en/wildwood-flowr/,https://regenerationcanada.org/en/map/
St. Brigid\'s Creamery Ltd.,Dairy,,butter,,,info@stbrigidscreamery.ca,,https://stbrigidscreamery.ca,"Brussels, Ontario",https://regenerationcanada.org/en/st-brigids-creamery-ltd/,https://regenerationcanada.org/en/map/
Millefolia - Ferme Biologique,Value-added products; Other / multiple categories,Workshops & trainings; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Employment opportunities,"Medicinal and Aromatic Herbs, Luffas, Herb Seedlings, Vegetable Garden Seedlings, Indigenous Plant Seedlings",,,info@terramillefolia.com,,https://terramillefolia.com,"Sainte-Ursule, Québec",https://regenerationcanada.org/en/ferme-terra-millefolia/,https://regenerationcanada.org/en/map/
