entity_name,location,address,phone,email,website,profile_url,category_names_str,service_names_str,source_url
Solar Nutrition,"Brandon, Manitoba","Group 315 Box 12 RR3 , Brandon, Manitoba, R7A 5Y3",204-740-0376,Solar.Nutrition.Info@gmail.com,solar-nutrition.localline.ca/shop,https://regenerationcanada.org/en/solar-nutrition/,,,https://regenerationcanada.org/en/map/
Hansen Beef,"Tawatinaw , Ab","Box 55, Tawatinaw , Ab, T0g2e0",7803072574,colbyuphill@hotmail.ca,facebook.com/hansenbeef,https://regenerationcanada.org/en/colby-hansen/,,,https://regenerationcanada.org/en/map/
3x Bar Land & Cattle co.,"Goodfare, Alberta","Box 35 Site 6, Goodfare, Alberta, T0H 2C0",780-933-9272,3xbarranch@gmail.com,www.3xbarlandandcattle.com,https://regenerationcanada.org/en/3x-bar-ranch/,,,https://regenerationcanada.org/en/map/
Coleman Meadows Farm,"Port Alberni, British Columbia","6670 Coleman Road,, Port Alberni, British Columbia, V9Y 8Y9",1(250)724-0876,awpb@island.net,www.facebook.com/colemanmeadowsfarm/,https://regenerationcanada.org/en/coleman-meadows-farm/,,,https://regenerationcanada.org/en/map/
À l\'Herbe! Bouvillons de pâturage,"Pont-Rouge, Québec","701 Chemin du Bois de l\'Ail, Pont-Rouge, Québec, G3H 2G8",418-285-7784,info@alherbe.ca,www.alherbe.ca,https://regenerationcanada.org/en/a-lherbe/,,,https://regenerationcanada.org/en/map/
Pépinière du bocage,"Frelighsburg, Québec","33 chemin de Dunham, Frelighsburg, Québec, J0J1C0",4389881418,info@bocage.eco,bocage.eco,https://regenerationcanada.org/en/pepiniere-du-bocage/,,,https://regenerationcanada.org/en/map/
Springfield Farm,"Apple Hill, Ontario","18709 CR 25, Apple Hill, Ontario, K0C 1B0",6135280083,springfieldfarmorganics@gmail.com,springfieldfarmorganics.ca,https://regenerationcanada.org/en/springfield-farm-2/,,,https://regenerationcanada.org/en/map/
Pâturages du Lac Brome,"Bolton-Ouest, QC","318 ch. Brill, Bolton-Ouest, QC, J0E 2T0",5142624421,emilie1080@gmail.com,www.paturagesdulacbrome.com,https://regenerationcanada.org/en/paturages-du-lac-brome/,,,https://regenerationcanada.org/en/map/
Les Jardins Collaboratifs du Moutonblon,"Saint-Charles-sur-Richelieu, Québec","12 chemin des Patriotes, Saint-Charles-sur-Richelieu, Québec, J0H 2G0",514-377-9148,olivier@jardinsmoutonblon.ca,jardinsmoutonblon.ca,https://regenerationcanada.org/en/les-jardins-collaboratifs-du-moutonblon/,,,https://regenerationcanada.org/en/map/
What the Hill Farm,"Kakabeka Falls, ON","6260 Hwy 11 & 17, Kakabeka Falls, ON, P0T 1W0",8076306779,info@whatthehillfarm.ca,whatthehillfarm.ca,https://regenerationcanada.org/en/what-the-hill-farm/,,,https://regenerationcanada.org/en/map/
Cicada Seeds,"Errington, British Columbia","1671 McKibben Road, Errington, British Columbia, V0R 1V0",,cicadaseeds@gmail.com,cicadaseeds.ca,https://regenerationcanada.org/en/cicada-seeds/,,,https://regenerationcanada.org/en/map/
Le Verger Labonté,"Notre-Dame-De-L\'île-Perrot, QC","2291 Boul Perrot, Notre-Dame-De-L\'île-Perrot, QC, J7V 8P4",5149837379,nathalie.gervais@vergerlabonte.com,vergerlabonte.com,https://regenerationcanada.org/en/le-verger-labonte/,,,https://regenerationcanada.org/en/map/
Waskwey Creek,"Vegreville, Alberta","Box 339, Vegreville, Alberta, T9C 1R3",(780)632-9746,terryosko@circletconsulting.ca,,https://regenerationcanada.org/en/waskwei-creek/,,,https://regenerationcanada.org/en/map/
The Dogs Run Farm,"Clearwater, Manitoba","PO Box 52, Clearwater, Manitoba, R0K0M0",2048732025,hello@thedogsrunfarm.com,thedogsrunfarm.com,https://regenerationcanada.org/en/the-dogs-run-farm/,,,https://regenerationcanada.org/en/map/
Forrest Farm Sheep &amp; Goat Cheese Creamery,"Salmo, BC","1244 Airport Rd, Salmo, BC, V0G 1Z0",250-777-1186,,forrestfarmsalmo.com,https://regenerationcanada.org/en/forrest-farm-sheep-amp-goat-cheese-creamery/,,,https://regenerationcanada.org/en/map/
Fishburn Ranch,"Pincher Creek, Alberta","Box 2622, Pincher Creek, Alberta, T0K1W0",403-627-9887 ,casey@fishburnranch.com,www.fishburnranch.com,https://regenerationcanada.org/en/fishburn-ranch/,,,https://regenerationcanada.org/en/map/
Les jardins de l\'écoumène,"St-Damien, QC","2855 chemin de l\'écoumène, St-Damien, QC, J0K 2E0",14508982855,guylaine@ecoumene.com,ecoumene.com,https://regenerationcanada.org/en/les-jardins-de-lecoumene-inc/,,,https://regenerationcanada.org/en/map/
Axten Farms,"Minton, Saskatchewan","Box 181, Minton, Saskatchewan, S0C 1T0",,tannis@axtenfarms.ca,www.axtenfarms.ca,https://regenerationcanada.org/en/axten-farms-2/,,,https://regenerationcanada.org/en/map/
Field Good Farms / La ferme j\'me champ bien,"Cache Bay, Ontario","1345 Levac Road, Cache Bay, Ontario, P0H 1G0",7059781664,info@fieldgoodfarms.ca,fieldgoodfarms.ca,https://regenerationcanada.org/en/field-good-farms-la-ferme-jme-champ-bien/,,,https://regenerationcanada.org/en/map/
Peony Farms,"Lacombe, Alberta","421020 Range Road 280, Ponoka County, Alberta, T4L 2N3",,,peonyfarms.com,https://regenerationcanada.org/en/peony-farms-2/,,,https://regenerationcanada.org/en/map/
Hayfield Farm,"Saint-Armand, Québec","377 chemin Dutch, Saint-Armand, Québec, J0J 1T0",,,hayfieldfarm.ca,https://regenerationcanada.org/en/hayfield-farm/,,,https://regenerationcanada.org/en/map/
